store_id,store_name,address,city,state,zip_code,latitude,longitude
09700177,Harris Teeter - Barracks Road,975 Emmet St N Spc 8,CHARLOTTESVILLE,VA,22903,38.0500621,-78.5045993
02900359,Kroger - Barracks Road,1159 Emmet St N,Charlottesville,VA,22903,38.0535892,-78.5006568
02900334,Kroger - Rio Hill,1980 Rio Hill Ctr,Charlottesville,VA,22901,38.0892084,-78.4740311
09700132,Harris Teeter - Hollymead Town Center,159 Community St,Charlottesville,VA,22911,38.1274717,-78.4437236
09700332,Harris Teeter - Blue Ridge,545 Radford Ln Bldg A,CHARLOTTESVILLE,VA,22903,38.0508762,-78.6819627
SYN_WEGMANS,Wegmans Charlottesville,100 Wegmans Way,Charlottesville,VA,22902,38.0336,-78.4767
SYN_WALMART,Walmart Charlottesville,975 Hilton Heights Rd,Charlottesville,VA,22901,38.0876,-78.4760
